symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCD,2016-03-28 00:00:00+00:00,123.17,124.2,123.12,124.0,4784378,108.3715829739,109.2778323079,108.3275902878,109.1018615634,4784378,0.0,1.0
MCD,2016-03-29 00:00:00+00:00,123.97,124.57,123.34,123.43,7188190,109.0754659518,109.6033781851,108.5211581067,108.6003449417,7188190,0.0,1.0
MCD,2016-03-30 00:00:00+00:00,125.83,126.1,124.6,124.9,4853563,110.7119938752,110.9495543802,109.6297737968,109.8937299135,4853563,0.0,1.0
MCD,2016-03-31 00:00:00+00:00,125.68,126.96,125.61,126.15,7685746,110.5800158169,111.7062285814,110.5184260563,110.9935470663,7685746,0.0,1.0
MCD,2016-04-01 00:00:00+00:00,127.02,127.39,124.87,125.19,5212355,111.7590198047,112.084565682,109.8673343018,110.1488874929,5212355,0.0,1.0
MCD,2016-04-04 00:00:00+00:00,127.57,127.868,126.88,127.05,4239465,112.242939352,112.5051357612,111.6358402836,111.7854154164,4239465,0.0,1.0
MCD,2016-04-05 00:00:00+00:00,127.38,127.78,126.39,126.84,6282243,112.0757671448,112.4277086337,111.2047119597,111.6006461347,6282243,0.0,1.0
MCD,2016-04-06 00:00:00+00:00,127.52,127.69,126.84,127.47,5619790,112.1989466659,112.3485217987,111.6006461347,112.1549539798,5619790,0.0,1.0
MCD,2016-04-07 00:00:00+00:00,128.14,128.5162,127.02,127.37,4720711,112.7444559737,113.075456944,111.7590198047,112.0669686075,4720711,0.0,1.0
MCD,2016-04-08 00:00:00+00:00,127.96,128.74,127.28,128.28,3625462,112.5860823037,113.2723682071,111.9877817725,112.8676354948,3625462,0.0,1.0
MCD,2016-04-11 00:00:00+00:00,127.56,128.69,127.45,128.35,6973658,112.2341408148,113.2283755209,112.1373569053,112.9292252554,6973658,0.0,1.0
MCD,2016-04-12 00:00:00+00:00,127.61,128.28,126.89,128.08,5211366,112.2781335009,112.8676354948,111.6446388208,112.6916647504,5211366,0.0,1.0
MCD,2016-04-13 00:00:00+00:00,126.89,127.915,126.08,127.71,4984995,111.6446388208,112.5464888862,110.9319573058,112.3661188731,4984995,0.0,1.0
MCD,2016-04-14 00:00:00+00:00,127.51,128.09,127.04,127.14,4834435,112.1901481286,112.7004632876,111.7766168792,111.8646022514,4834435,0.0,1.0
MCD,2016-04-15 00:00:00+00:00,127.78,128.04,126.96,127.08,3103720,112.4277086337,112.6564706015,111.7062285814,111.8118110281,3103720,0.0,1.0
MCD,2016-04-18 00:00:00+00:00,128.85,128.91,127.68,127.95,4525253,113.3691521165,113.4219433398,112.3397232614,112.5772837665,4525253,0.0,1.0
MCD,2016-04-19 00:00:00+00:00,128.86,129.35,128.12,128.91,4605825,113.3779506537,113.8090789777,112.7268588992,113.4219433398,4605825,0.0,1.0
MCD,2016-04-20 00:00:00+00:00,128.55,129.8,128.51,129.31,5006310,113.1051959998,114.2050131527,113.0700018509,113.7738848288,5006310,0.0,1.0
MCD,2016-04-21 00:00:00+00:00,125.79,128.75,125.6,128.55,7942025,110.6767997263,113.2811667443,110.5096275191,113.1051959998,7942025,0.0,1.0
MCD,2016-04-22 00:00:00+00:00,125.5,128.4,125.36,128.17,9309089,110.4216421469,112.9732179415,110.2984626257,112.7708515854,9309089,0.0,1.0
MCD,2016-04-25 00:00:00+00:00,127.46,127.53,125.01,125.07,6979925,112.1461554425,112.2077452031,109.9905138229,110.0433050463,6979925,0.0,1.0
MCD,2016-04-26 00:00:00+00:00,127.71,128.34,127.03,127.42,4081843,112.3661188731,112.9204267181,111.767818342,112.1109612936,4081843,0.0,1.0
MCD,2016-04-27 00:00:00+00:00,128.3,128.5599,127.78,127.94,4435843,112.8852325693,113.1139065517,112.4277086337,112.5684852292,4435843,0.0,1.0
MCD,2016-04-28 00:00:00+00:00,127.92,128.85,127.44,127.86,3385701,112.5508881548,113.3691521165,112.1285583681,112.4980969314,3385701,0.0,1.0
MCD,2016-04-29 00:00:00+00:00,126.49,127.93,126.1,127.93,6276025,111.2926973319,112.559686692,110.9495543802,112.559686692,6276025,0.0,1.0
MCD,2016-05-02 00:00:00+00:00,128.2,128.22,126.5,126.65,4830848,112.797247197,112.8148442715,111.3014958691,111.4334739275,4830848,0.0,1.0
MCD,2016-05-03 00:00:00+00:00,128.4,128.99,127.38,127.4,4048446,112.9732179415,113.4923316376,112.0757671448,112.0933642192,4048446,0.0,1.0
MCD,2016-05-04 00:00:00+00:00,129.33,130.4299,127.57,127.57,6613656,113.7914819032,114.7592330124,112.242939352,112.242939352,6613656,0.0,1.0
MCD,2016-05-05 00:00:00+00:00,129.28,129.9799,129.0,129.31,4519814,113.7474892171,114.3632988373,113.5011301749,113.7738848288,4519814,0.0,1.0
MCD,2016-05-06 00:00:00+00:00,130.58,130.58,128.59,129.38,4417799,114.8912990561,114.8912990561,113.1403901487,113.8354745893,4417799,0.0,1.0
MCD,2016-05-09 00:00:00+00:00,130.83,131.5,130.35,130.65,5006830,115.1112624866,115.7007644806,114.6889326999,114.9528888166,5006830,0.0,1.0
MCD,2016-05-10 00:00:00+00:00,131.6,131.96,130.85,130.85,4082197,115.7887498528,116.1054971928,115.1288595611,115.1288595611,4082197,0.0,1.0
MCD,2016-05-11 00:00:00+00:00,129.14,131.62,129.14,131.24,6883809,113.624309696,115.8063469272,113.624309696,115.4720025128,6883809,0.0,1.0
MCD,2016-05-12 00:00:00+00:00,130.12,130.54,129.16,129.74,4287026,114.4865663438,114.8561049072,113.6419067704,114.1522219293,4287026,0.0,1.0
MCD,2016-05-13 00:00:00+00:00,128.83,130.16,128.71,129.74,6568484,113.3515550421,114.5217604927,113.2459725954,114.1522219293,6568484,0.0,1.0
MCD,2016-05-16 00:00:00+00:00,129.64,129.73,128.05,128.51,4343605,114.0642365571,114.1434233921,112.6652691387,113.0700018509,4343605,0.0,1.0
MCD,2016-05-17 00:00:00+00:00,127.69,129.97,127.3,129.6,5824181,112.3485217987,114.3545882855,112.005378847,114.0290424082,5824181,0.0,1.0
MCD,2016-05-18 00:00:00+00:00,126.21,127.47,125.73,127.05,7303212,111.0463382897,112.1549539798,110.624008503,111.7854154164,7303212,0.0,1.0
MCD,2016-05-19 00:00:00+00:00,125.29,125.6,124.68,125.48,6255136,110.2368728652,110.5096275191,109.7001620946,110.4040450724,6255136,0.0,1.0
MCD,2016-05-20 00:00:00+00:00,122.56,125.0,122.14,124.74,9735643,107.8348722033,109.9817152857,107.46533364,109.7529533179,9735643,0.0,1.0
MCD,2016-05-23 00:00:00+00:00,122.81,123.73,122.47,122.76,7081072,108.0548356339,108.8643010584,107.7556853683,108.0108429478,7081072,0.0,1.0
MCD,2016-05-24 00:00:00+00:00,123.95,124.77,123.01,123.39,4494420,109.0578688773,109.7793489296,108.2308063784,108.5651507928,4494420,0.0,1.0
MCD,2016-05-25 00:00:00+00:00,123.26,123.99,123.0315,123.75,5307678,108.4507698089,109.0930630262,108.2497232334,108.8818981329,5307678,0.0,1.0
MCD,2016-05-26 00:00:00+00:00,123.79,123.98,123.23,123.38,3715820,108.9170922817,109.084264489,108.4243741973,108.5563522556,3715820,0.0,1.0
